packet_counter,decrypt_time_ns,decrypt_time_us
1440,50422,50.422
1441,38501,38.501
1442,48764,48.764
1443,46416,46.416
1444,41029,41.029
1445,49454,49.454
1446,48141,48.141
1447,74878,74.878
1448,56098,56.098
1449,43316,43.316
1450,52790,52.79
1451,40818,40.818
1452,52034,52.034
1453,44348,44.348
1454,42214,42.214
1455,45190,45.19
1456,38822,38.822
1457,52563,52.563
1458,44187,44.187
1459,51422,51.422
1460,70639,70.639
1461,45108,45.108
1462,52863,52.863
1463,59691,59.691
1464,55223,55.223
1465,49065,49.065
1466,40486,40.486
1467,49012,49.012
1468,58245,58.245
1469,40855,40.855
1470,46880,46.88
1471,41559,41.559
1472,56614,56.614
1473,50416,50.416
1474,48391,48.391
1475,45396,45.396
1476,203899,203.899
1477,44568,44.568
1478,59356,59.356
1479,39364,39.364
1480,56841,56.841
1481,41400,41.4
1482,51123,51.123
1483,68253,68.253
1484,52553,52.553
