packet_counter,encrypt_time_ns,encrypt_time_us
1239,87235,87.235
1240,89448,89.448
1241,82182,82.182
1242,67720,67.72
1243,91697,91.697
1244,97161,97.161
1245,64170,64.17
1246,62136,62.136
1247,88230,88.23
1248,93545,93.545
1249,66748,66.748
1250,88128,88.128
1251,94704,94.704
1252,120871,120.871
1253,109225,109.225
1254,86537,86.537
1255,119758,119.758
1256,117123,117.123
1257,158938,158.938
1258,122930,122.93
1259,92874,92.874
1260,89890,89.89
1261,73830,73.83
1262,89291,89.291
1263,82640,82.64
1264,245027,245.027
1265,127974,127.974
1266,117025,117.025
1267,80881,80.881
1268,65519,65.519
1269,105514,105.514
1270,73396,73.396
1271,94036,94.036
1272,234299,234.299
1273,120501,120.501
1274,120340,120.34
1275,140156,140.156
1276,298470,298.47
1277,104809,104.809
1278,70496,70.496
1279,121888,121.888
1280,105561,105.561
1281,73492,73.492
1282,156232,156.232
1283,344333,344.333
1284,71111,71.111
1285,129865,129.865
1286,97093,97.093
1287,136822,136.822
1288,89951,89.951
1289,78124,78.124
1290,99160,99.16
1291,88877,88.877
1292,139228,139.228
1293,208575,208.575
1294,266724,266.724
1295,137584,137.584
1296,87255,87.255
1297,112324,112.324
1298,104730,104.73
1299,146631,146.631
1300,105324,105.324
1301,81970,81.97
1302,125486,125.486
1303,85267,85.267
1304,189916,189.916
1305,94687,94.687
1306,79465,79.465
1307,74422,74.422
1308,85881,85.881
1309,82312,82.312
1310,70623,70.623
1311,101627,101.627
1312,95980,95.98
1313,93750,93.75
1314,81250,81.25
1315,82295,82.295
1316,72049,72.049
1317,86191,86.191
1318,86241,86.241
1319,84178,84.178
1320,64467,64.467
1321,74269,74.269
1322,85793,85.793
1323,60158,60.158
1324,152967,152.967
1325,118459,118.459
1326,85441,85.441
1327,178649,178.649
1328,132702,132.702
1329,80299,80.299
1330,197173,197.173
1331,88934,88.934
1332,98663,98.663
1333,101504,101.504
1334,90346,90.346
1335,116035,116.035
1336,109423,109.423
1337,83671,83.671
1338,74720,74.72
1339,83923,83.923
1340,490162,490.162
1341,80068,80.068
1342,96295,96.295
1343,83104,83.104
1344,75546,75.546
1345,201074,201.074
1346,57487,57.487
1347,114899,114.899
1348,346320,346.32
1349,93244,93.244
1350,90272,90.272
1351,92759,92.759
1352,85277,85.277
1353,63380,63.38
1354,101692,101.692
1355,152614,152.614
1356,223584,223.584
1357,121634,121.634
1358,131700,131.7
1359,84283,84.283
1360,88745,88.745
1361,93764,93.764
1362,96178,96.178
1363,100829,100.829
1364,71201,71.201
1365,73990,73.99
1366,164222,164.222
1367,89883,89.883
1368,66439,66.439
1369,96046,96.046
1370,76475,76.475
1371,75721,75.721
1372,131253,131.253
1373,153131,153.131
1374,77287,77.287
1375,136012,136.012
1376,144863,144.863
1377,109013,109.013
1378,157976,157.976
1379,100101,100.101
1380,95402,95.402
1381,114393,114.393
1382,104347,104.347
1383,121099,121.099
1384,80878,80.878
1385,138341,138.341
1386,89751,89.751
1387,137884,137.884
1388,121600,121.6
1389,212912,212.912
1390,92591,92.591
1391,72184,72.184
1392,164086,164.086
1393,137117,137.117
1394,103598,103.598
1395,143185,143.185
1396,126314,126.314
1397,112918,112.918
1398,127765,127.765
1399,85470,85.47
1400,140181,140.181
1401,94272,94.272
1402,106776,106.776
1403,102473,102.473
1404,84600,84.6
1405,97446,97.446
1406,91462,91.462
1407,78263,78.263
1408,100086,100.086
1409,80604,80.604
1410,86902,86.902
1411,179283,179.283
1412,92779,92.779
1413,88811,88.811
1414,66009,66.009
1415,75311,75.311
1416,63609,63.609
1417,67691,67.691
1418,89377,89.377
1419,61025,61.025
1420,74768,74.768
1421,57956,57.956
1422,76909,76.909
1423,90211,90.211
1424,61321,61.321
1425,101338,101.338
1426,137442,137.442
1427,112766,112.766
1428,100456,100.456
1429,104798,104.798
1430,107934,107.934
1431,76318,76.318
1432,161276,161.276
1433,90609,90.609
1434,79352,79.352
1435,90519,90.519
1436,81025,81.025
