packet_counter,encrypt_time_ns,encrypt_time_us
1427,74153,74.153
1428,76182,76.182
1429,130903,130.903
1430,68841,68.841
1431,70477,70.477
1432,70476,70.476
1433,81191,81.191
1434,71351,71.351
1435,100316,100.316
1436,61788,61.788
1437,146949,146.949
1438,89695,89.695
1439,80225,80.225
1440,78785,78.785
1441,77249,77.249
1442,141700,141.7
1443,80435,80.435
1444,195976,195.976
1445,129222,129.222
1446,78755,78.755
1447,143496,143.496
1448,209466,209.466
1449,104263,104.263
1450,94581,94.581
1451,67814,67.814
1452,68119,68.119
1453,122541,122.541
1454,73644,73.644
1455,103462,103.462
1456,86284,86.284
1457,156240,156.24
1458,141193,141.193
1459,116668,116.668
1460,118512,118.512
1461,67995,67.995
1462,91291,91.291
1463,90138,90.138
1464,77283,77.283
1465,128251,128.251
1466,92638,92.638
1467,115419,115.419
1468,110476,110.476
1469,85799,85.799
1470,91524,91.524
1471,72406,72.406
1472,97465,97.465
1473,79228,79.228
1474,62719,62.719
1475,65054,65.054
1476,57044,57.044
1477,89300,89.3
1478,73928,73.928
1479,95124,95.124
1480,77350,77.35
1481,63892,63.892
1482,77898,77.898
1483,72729,72.729
1484,71708,71.708
